@HOLE0:1
@HOLE1:1
@HOLE2:1
@HOLE3:1
@HOLE4:1
@HOLE5:1
@HOLE6:1
@HOLE7:1
ACT0:1
C0:1
C1:1
C2:1
C3:1
C4:1
C5:1
CAMERA0:1
HDMI0:1
IC0:1
J1:1
J2:1
JP1:1
JP2:1
JP3:1
JP4:1
JP5:1
JP6:1
PWR0:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SD_CARD0:1
U1:1
U2:1
U3:1
U4:1
US0:1
US1:1
